iter	RMSE
0	0.2215323677
1	0.2213155522
2	0.2211847189
3	0.2210228929
4	0.2208972009
5	0.2206796116
6	0.2204602901
7	0.2202328605
8	0.2201060655
9	0.219994384
10	0.219911354
11	0.2198184021
12	0.2197411966
13	0.2195955874
14	0.2194315738
15	0.2192839678
16	0.2191896197
17	0.219064209
18	0.2189593171
19	0.2188832519
20	0.2188149314
21	0.2185693443
22	0.218415315
23	0.2182974222
24	0.2182155227
25	0.218143161
26	0.2179726689
27	0.2178866919
28	0.2177890703
29	0.2176601436
30	0.2175413357
31	0.2174164272
32	0.2173216068
33	0.217202036
34	0.2171460742
35	0.2170582499
36	0.2169630325
37	0.2167763198
38	0.2166922472
39	0.216629947
40	0.2164872566
41	0.2163459359
42	0.2162500245
43	0.2161124259
44	0.2160043222
45	0.2159143476
46	0.2157546261
47	0.215649604
48	0.2155443519
49	0.215368794
50	0.2152408258
51	0.2152161718
52	0.2150942304
53	0.2149786682
54	0.2149331626
55	0.2148751241
56	0.2147476372
57	0.2146484201
58	0.2144442419
59	0.214368698
60	0.2142391082
61	0.2142227638
62	0.2141698363
63	0.2140519782
64	0.2139660018
65	0.2139331971
66	0.2138811545
67	0.2137148608
68	0.2136343735
69	0.21352523
70	0.213482498
71	0.2133735775
72	0.2132418198
73	0.2132112978
74	0.2131627031
75	0.2130813392
76	0.2130241324
77	0.2128947757
78	0.2127995512
79	0.2126952511
80	0.2126342876
81	0.2125349215
82	0.2124694337
83	0.2124349381
84	0.2123716983
85	0.2123100975
86	0.2122013141
87	0.2120510786
88	0.2119896065
89	0.2118900197
90	0.2118226977
91	0.2117428158
92	0.2116205527
93	0.2115756287
94	0.2114596195
95	0.211357028
96	0.2112858871
97	0.2112214234
98	0.211189394
99	0.2111387571
100	0.2111143463
101	0.2110423567
102	0.2109286746
103	0.2108171906
104	0.2107739671
105	0.2107380158
106	0.210718376
107	0.210643954
108	0.2105440835
109	0.2105234011
110	0.2103386398
111	0.2102833903
112	0.2101558366
113	0.2101413537
114	0.2101047218
115	0.2100320562
116	0.2099755346
117	0.2099094798
118	0.2097718555
119	0.2097147521
120	0.2095254878
121	0.2094770252
122	0.2093683623
123	0.2093392106
124	0.2092370235
125	0.2091804624
126	0.2091424398
127	0.2090895421
128	0.2090596827
129	0.2088603786
130	0.2088347708
131	0.2088193488
132	0.2087486817
133	0.2087016083
134	0.208627716
135	0.2084901851
136	0.208434732
137	0.2083847924
138	0.2083413918
139	0.2082935774
140	0.208270349
141	0.2081720557
142	0.2081413099
