iter	Passed	Remaining
0	0	656
1	1	583
2	1	467
3	1	438
4	2	409
5	2	390
6	2	367
7	2	357
8	3	337
9	3	340
10	3	323
11	3	320
12	4	310
13	4	309
14	4	303
15	4	301
16	5	300
17	5	299
18	5	298
19	6	297
20	6	295
21	6	297
22	7	297
23	7	294
24	7	294
25	7	293
26	8	292
27	8	288
28	8	287
29	8	287
30	9	286
31	9	286
32	9	286
33	10	285
34	10	285
35	10	285
36	10	284
37	11	284
38	11	283
39	11	282
40	12	282
41	12	283
42	12	283
43	13	283
44	13	282
45	13	282
46	13	282
47	14	282
48	14	281
49	14	281
50	15	280
51	15	278
52	15	276
53	15	275
54	15	274
55	16	274
56	16	273
57	16	273
58	17	273
59	17	272
60	17	272
61	17	269
62	18	269
63	18	269
64	18	269
65	19	269
66	19	269
67	19	269
68	19	268
69	20	268
70	20	268
71	20	268
72	21	267
73	21	266
74	21	265
75	21	265
76	22	264
77	22	264
78	22	264
79	23	264
80	23	264
81	23	264
82	23	263
83	24	262
84	24	261
85	24	261
86	24	261
87	25	261
88	25	261
89	25	261
90	26	260
91	26	260
92	26	260
93	26	259
94	27	259
95	27	259
96	27	259
97	28	259
98	28	259
99	28	258
100	29	258
101	29	258
102	29	258
103	29	257
104	30	257
105	30	257
106	30	256
107	31	256
108	31	256
109	31	255
110	31	255
111	32	254
112	32	254
113	32	254
114	32	253
115	33	253
116	33	253
117	33	252
118	34	252
119	34	252
120	34	252
121	34	251
122	35	251
123	35	251
124	35	250
125	36	250
126	36	251
127	36	251
128	37	251
129	37	251
130	37	250
131	37	249
132	38	249
133	38	248
134	38	248
135	39	248
136	39	247
137	39	247
138	39	247
139	40	246
140	40	246
141	40	246
142	41	247
143	41	246
144	41	246
145	42	246
146	42	246
147	42	246
148	43	246
149	43	246
150	43	245
151	43	245
152	44	244
153	44	243
154	44	243
155	44	243
156	45	243
157	45	242
158	45	242
159	46	242
160	46	242
161	46	241
162	47	241
163	47	241
164	47	241
165	48	241
166	48	240
167	48	240
168	48	240
169	49	240
170	49	239
171	49	239
172	50	239
173	50	238
174	50	238
175	50	237
176	51	237
177	51	237
178	51	236
179	51	236
180	52	236
181	52	236
182	52	235
183	52	235
184	53	234
185	53	234
186	53	234
187	54	233
188	54	233
189	54	233
190	55	233
191	55	233
192	55	233
193	56	232
194	56	232
195	56	232
196	56	231
197	57	231
198	57	231
199	57	230
200	57	230
201	58	230
202	58	229
203	58	229
204	59	229
205	59	228
206	59	228
207	60	228
208	60	228
209	60	228
210	60	227
211	61	227
212	61	227
213	61	226
214	62	226
215	62	226
216	62	226
217	62	225
218	63	225
219	63	225
220	63	224
221	64	224
222	64	224
223	64	223
224	64	223
225	65	223
226	65	223
227	65	222
228	66	222
229	66	222
230	66	222
231	67	221
232	67	221
233	67	221
234	67	221
235	68	220
236	68	220
237	68	220
238	69	220
239	69	220
240	69	219
241	70	219
242	70	219
243	70	219
244	71	219
245	71	218
246	71	218
247	72	218
248	72	218
249	72	218
250	73	218
251	73	218
252	73	217
253	74	217
254	74	217
255	74	217
256	75	217
257	75	216
258	75	216
259	75	215
260	76	215
261	76	215
262	76	215
263	77	214
264	77	214
265	77	214
266	78	214
267	78	214
268	78	213
269	78	213
270	79	213
271	79	213
272	79	212
273	80	212
274	80	212
275	80	212
276	81	211
277	81	211
278	81	211
279	81	210
280	82	210
281	82	210
282	82	210
283	83	209
284	83	209
285	83	209
286	84	209
287	84	209
288	84	208
289	85	208
290	85	208
291	85	208
292	86	208
293	86	207
294	86	207
295	87	207
296	87	207
297	87	207
298	88	206
299	88	206
300	88	206
301	89	206
302	89	206
303	89	205
304	90	205
305	90	205
306	90	205
307	91	204
308	91	204
309	91	204
310	92	204
311	92	203
312	92	203
313	93	203
314	93	202
315	93	202
316	93	202
317	94	202
318	94	201
319	94	201
320	95	201
321	95	201
322	96	201
323	96	201
324	97	201
325	97	201
326	97	200
327	97	200
328	98	200
329	98	200
330	98	199
331	99	199
332	99	199
333	99	198
334	100	198
335	100	198
336	100	198
337	100	197
338	101	197
339	101	197
340	101	197
341	102	196
342	102	196
343	103	196
344	103	196
345	103	195
346	104	195
347	104	195
348	104	195
349	105	195
350	105	194
351	105	194
352	106	194
353	106	194
354	106	193
355	107	193
356	107	193
357	107	193
358	108	193
359	108	193
360	108	192
361	109	192
362	109	192
363	110	192
364	110	192
365	110	192
366	111	192
367	111	191
368	112	191
369	112	191
370	112	191
371	113	190
372	113	190
373	113	190
374	114	190
375	114	190
376	114	189
377	115	189
378	115	189
379	116	189
380	116	189
381	116	189
382	117	189
383	117	188
384	118	188
385	118	188
386	119	188
387	119	188
388	119	188
389	120	188
390	120	188
391	121	188
392	121	188
393	122	187
394	122	187
395	122	187
396	123	186
397	123	186
398	123	186
399	124	186
400	124	185
401	124	185
402	125	185
403	125	185
404	125	184
405	126	184
406	126	184
407	126	183
408	127	183
409	127	183
410	127	182
411	128	182
412	128	182
413	128	182
414	129	181
415	129	181
416	129	181
417	130	181
418	130	180
419	130	180
420	131	180
421	131	180
422	131	179
423	132	179
424	132	179
425	132	178
426	132	178
427	133	178
428	133	177
429	133	177
430	134	177
431	134	176
432	134	176
433	135	176
434	135	175
435	135	175
436	136	175
437	136	174
438	136	174
439	137	174
440	137	174
441	137	174
442	138	173
443	138	173
444	138	173
445	139	172
446	139	172
447	139	172
448	140	171
449	140	171
450	140	171
451	140	170
452	141	170
453	141	170
454	141	169
455	142	169
456	142	169
457	142	168
458	143	168
459	143	168
460	143	168
461	144	167
462	144	167
463	144	167
464	145	166
465	145	166
466	145	166
467	145	165
468	146	165
469	146	165
470	146	165
471	147	164
472	147	164
473	147	164
474	148	163
475	148	163
476	148	163
477	149	163
478	149	162
479	149	162
480	150	162
481	150	161
482	150	161
483	151	161
